City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Angoche,MZ,78.51,overcast clouds,-16.2325,39.9086,Guest House HESADA
5,Port Moresby,PG,85.24,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
17,Kapaa,US,80.92,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
23,Mana,GF,78.46,overcast clouds,5.6592,-53.7767,LE SAMANA
30,Buchanan,LR,76.96,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
32,Dubbo,AU,77.13,broken clouds,-32.25,148.6167,Comfort Inn Blue Lagoon
34,Hervey Bay,AU,77.11,light rain,-25.2986,152.8535,Shelly Bay Resort
38,Cayenne,GF,76.08,heavy intensity rain,4.9333,-52.3333,Hôtel Le Dronmi
43,Bubaque,GW,81.28,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
45,Rikitea,PF,76.42,clear sky,-23.1203,-134.9692,People ThankYou
50,Hilo,US,81.63,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
54,Lazaro Cardenas,MX,78.26,overcast clouds,17.9583,-102.2,quinta antigua
55,Kimbe,PG,87.66,light rain,-5.5502,150.1429,Kimbe Bay Hotel
58,Atuona,PF,78.98,clear sky,-9.8,-139.0333,Villa Enata
59,Tampakan,PH,87.12,overcast clouds,6.4442,124.9264,Green Palm Resort
61,Ipixuna,BR,80.55,broken clouds,-1.7625,-48.8043,Casa da Oscarina
64,Meulaboh,ID,78.94,broken clouds,4.1363,96.1285,Kost Pria
68,New Norfolk,AU,87.66,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
76,Gold Coast,AU,77.23,light rain,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
77,Porto Nacional,BR,78.8,broken clouds,-10.7081,-48.4172,Vila Real Hotel
78,Butaritari,KI,82.11,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
82,Bengkulu,ID,79.72,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
90,Georgetown,MY,82.89,few clouds,5.4112,100.3354,Cititel Penang
91,Dabakala,CI,77.16,overcast clouds,8.3667,-4.4333,Hôtel Campement
97,Hithadhoo,MV,81.66,overcast clouds,-0.6,73.0833,Scoop Guest House
98,Sibu,MY,87.04,overcast clouds,2.3,111.8167,RH HOTEL (4 Star)
100,Labuhan,ID,83.44,light rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
102,Ternate,ID,83.21,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
111,Hobart,AU,88.02,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
118,Hambantota,LK,77.83,few clouds,6.1241,81.1185,Bungalow 63
123,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
124,Yanam,IN,75.6,clear sky,16.7333,82.2167,The Regency Hotel
129,Sola,VU,82.18,broken clouds,-13.8833,167.55,Leumerus Bungalows
133,Nieuw Amsterdam,SR,78.03,overcast clouds,5.8833,-55.0833,Hotel Stardust
134,Kudahuvadhoo,MV,82.2,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
137,Saint-Philippe,RE,76.59,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
139,Luganville,VU,85.75,few clouds,-15.5333,167.1667,The Espiritu Hotel
140,Kavieng,PG,85.62,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
145,Kilindoni,TZ,81.05,broken clouds,-7.9139,39.6668,Bustani B&B
148,Noumea,NC,88.0,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
155,Isangel,VU,87.91,broken clouds,-19.55,169.2667,Tanna Lodge
158,Sinnamary,GF,77.9,moderate rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
166,Sibolga,ID,80.53,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
176,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
179,Vung Tau,VN,77.67,light rain,10.345999999999998,107.0843,Green hotel
180,Manokwari,ID,84.36,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
181,Caravelas,BR,76.3,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
182,Ratnagiri,IN,77.25,light rain,16.9833,73.3,Hotel Landmark
186,Tucurui,BR,80.38,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
195,Ixtapa,MX,77.23,clear sky,20.7,-105.2,Hotel Plaza Providencia
196,Labuan,MY,88.16,few clouds,5.2767,115.2417,Tiara Labuan Hotel
206,Carnarvon,AU,75.27,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
214,Amuntai,ID,80.78,overcast clouds,-2.4177,115.2494,Hotel Balqis
215,Santa Marta,CO,78.96,broken clouds,11.2408,-74.199,Casa de Isabella
218,Flinders,AU,78.8,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
219,Nova Olinda Do Norte,BR,77.36,light rain,-3.8881,-59.0942,Jardim Paiva Hotel
221,Namatanai,PG,85.87,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
235,Ahuimanu,US,83.91,light rain,21.4447,-157.8378,Paradise Bay Resort
240,Campoverde,PE,76.69,overcast clouds,-8.4753,-74.8058,Hospedaje Coral's
241,Dhidhdhoo,MV,81.55,overcast clouds,6.8833,73.1,Dhidhoo beach
248,Moree,AU,78.82,broken clouds,-29.4667,149.85,Molika Springs Motel
250,Gouyave,GD,80.11,overcast clouds,12.1646,-61.7296,Rumboat Retreat
252,Punta Cardon,VE,79.77,broken clouds,11.6581,-70.215,Bambuda hotel
255,Dingle,PH,81.14,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
256,Mahebourg,MU,77.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
258,Vao,NC,76.66,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
260,Cabo San Lucas,MX,75.51,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
262,Kavaratti,IN,81.79,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
270,Kuching,MY,86.22,few clouds,1.55,110.3333,The Ranee Boutique Suites
277,Tutoia,BR,80.69,overcast clouds,-2.7619,-42.2744,Pousada Guará's
278,Cap Malheureux,MU,77.49,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
279,Pangai,TO,80.71,light rain,-19.8,-174.35,Ha'apai Beach Resort
284,Loa Janan,ID,85.21,overcast clouds,-0.583,117.095,PONDOK COKLAT HATTA CAB. LOA JANAN ILIR
286,Airai,TL,77.38,scattered clouds,-8.9266,125.4092,Juvinal Martin
290,Galle,LK,78.15,few clouds,6.0367,80.217,Amangalla
293,Faanui,PF,81.86,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
294,Vaini,TO,82.56,light rain,-21.2,-175.2,Keleti Beach Resort
297,Iquitos,PE,77.04,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
300,Vila Velha,BR,80.55,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
302,Townsville,AU,86.88,few clouds,-19.25,146.8,Rydges Southbank Townsville
303,Alofi,NU,84.09,broken clouds,-19.0595,-169.9187,Taloa Heights
304,Pho Chai,TH,76.01,overcast clouds,16.3283,103.7703,ก๊อฟคุงยางมือสอง
306,Japura,ID,85.59,scattered clouds,-0.3167,102.35,Rumah mbah Jamah
307,Kupang,ID,86.58,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
311,Obregon,NI,77.56,clear sky,11.9566,-85.9636,Hostal Casa Aryen
321,Touros,BR,81.5,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
