City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Angoche,MZ,-16.2325,39.9086,78.51,81,94,6.2,overcast clouds
1,Broome,US,42.2506,-75.833,35.62,77,90,3.0,light rain
2,Bambous Virieux,MU,-20.3428,57.7575,74.21,73,23,10.8,few clouds
3,Chokurdakh,RU,70.6333,147.9167,-15.12,99,100,6.31,overcast clouds
4,Junin,AR,-34.5838,-60.9433,62.96,56,100,8.79,overcast clouds
5,Port Moresby,PG,-9.4431,147.1797,85.24,68,94,6.15,overcast clouds
6,Kot Radha Kishan,PK,31.1725,74.0997,51.91,35,73,3.18,broken clouds
7,Ushuaia,AR,-54.8,-68.3,45.9,87,97,8.95,overcast clouds
8,Port Alfred,ZA,-33.5906,26.891,65.03,82,98,7.14,overcast clouds
9,Saint-Augustin,CA,51.226,-58.6502,23.56,93,100,17.85,snow
10,Norman Wells,CA,65.282,-126.8329,-22.54,98,100,0.65,overcast clouds
11,Dikson,RU,73.5069,80.5464,-18.26,100,100,8.57,overcast clouds
12,Okhotsk,RU,59.3833,143.3,-14.3,85,18,15.14,few clouds
13,Pevek,RU,69.7008,170.3133,-12.14,99,100,1.23,overcast clouds
14,Clyde River,CA,70.4692,-68.5914,3.43,85,100,9.22,light snow
15,Skjervoy,NO,70.0311,20.9714,21.45,64,0,15.41,clear sky
16,Morrinhos,BR,-17.7311,-49.0994,69.17,96,100,4.0,light rain
17,Kapaa,US,22.0752,-159.319,80.92,79,20,3.0,moderate rain
18,Grindavik,IS,63.8424,-22.4338,28.87,86,75,8.05,broken clouds
19,Union,US,40.6334,-74.2663,42.89,75,90,3.44,overcast clouds
20,Wawa,NG,9.9022,4.4192,75.38,29,5,3.27,clear sky
21,Thompson,CA,55.7435,-97.8558,4.95,93,100,1.86,overcast clouds
22,Tarko-Sale,RU,64.9225,77.785,-11.13,95,100,8.93,overcast clouds
23,Mana,GF,5.6592,-53.7767,78.46,88,100,8.41,overcast clouds
24,Kaitangata,NZ,-46.2817,169.8464,58.93,78,100,13.82,overcast clouds
25,Eureka,US,40.8021,-124.1637,52.93,77,15,4.27,few clouds
26,Baker City,US,44.7749,-117.8344,50.65,87,90,0.0,overcast clouds
27,Berdigestyakh,RU,62.0989,126.6992,-7.08,98,96,4.61,overcast clouds
28,Bilibino,RU,68.0546,166.4372,-5.22,99,100,4.03,overcast clouds
29,Gravdal,NO,68.1214,13.5031,26.22,72,78,7.52,broken clouds
30,Buchanan,LR,5.8808,-10.0467,76.96,85,59,2.68,light rain
31,Inuvik,CA,68.3499,-133.7218,-37.52,100,45,2.82,scattered clouds
32,Dubbo,AU,-32.25,148.6167,77.13,61,75,5.75,broken clouds
33,Hermanus,ZA,-34.4187,19.2345,58.89,84,11,8.63,few clouds
34,Hervey Bay,AU,-25.2986,152.8535,77.11,78,49,6.58,light rain
35,Fortuna,US,40.5982,-124.1573,52.66,72,40,0.0,scattered clouds
36,Ribeira Grande,PT,38.5167,-28.7,62.73,75,57,7.87,broken clouds
37,Qaanaaq,GL,77.484,-69.3632,1.31,73,74,7.56,broken clouds
38,Cayenne,GF,4.9333,-52.3333,76.08,91,75,0.0,heavy intensity rain
39,Punta Arenas,CL,-53.15,-70.9167,53.11,62,75,5.75,broken clouds
40,Katangli,RU,51.7102,143.2326,28.26,96,100,28.39,snow
41,Yellowknife,CA,62.456,-114.3525,-15.59,95,65,6.44,broken clouds
42,Yumen,CN,40.2833,97.2,20.35,60,98,15.59,overcast clouds
43,Bubaque,GW,11.2833,-15.8333,81.28,70,5,10.16,clear sky
44,Kedrovyy,RU,56.1667,91.8167,25.21,83,100,10.85,overcast clouds
45,Rikitea,PF,-23.1203,-134.9692,76.42,76,0,19.55,clear sky
46,Mataura,NZ,-46.1927,168.8643,68.49,53,48,5.7,scattered clouds
47,Luderitz,NA,-26.6481,15.1594,59.49,79,0,13.98,clear sky
48,Sunndalsora,NO,62.6754,8.5515,30.85,87,99,7.0,light snow
49,Kodiak,US,57.79,-152.4072,24.31,68,90,9.22,light snow
50,Hilo,US,19.7297,-155.09,81.63,70,75,5.75,light rain
51,Jesus Carranza,MX,17.4333,-95.0333,70.9,92,93,4.85,overcast clouds
52,Wanaka,NZ,-44.7,169.15,70.3,60,44,3.85,scattered clouds
53,Aravete,EE,59.1403,25.7485,20.59,88,100,11.16,overcast clouds
54,Lazaro Cardenas,MX,17.9583,-102.2,78.26,80,92,4.12,overcast clouds
55,Kimbe,PG,-5.5502,150.1429,87.66,66,81,6.29,light rain
56,Jamestown,US,42.097,-79.2353,38.79,82,90,11.01,overcast clouds
57,Lata,PT,40.1629,-8.3327,48.81,82,4,1.72,clear sky
58,Atuona,PF,-9.8,-139.0333,78.98,75,6,20.38,clear sky
59,Tampakan,PH,6.4442,124.9264,87.12,66,97,0.56,overcast clouds
60,Khatanga,RU,71.9667,102.5,-41.35,100,91,3.49,overcast clouds
61,Ipixuna,BR,-1.7625,-48.8043,80.55,95,80,4.14,broken clouds
62,Sar-E Pul,AF,35.8333,66.1667,44.37,40,0,8.86,clear sky
63,Busselton,AU,-33.65,115.3333,65.08,51,100,7.58,overcast clouds
64,Meulaboh,ID,4.1363,96.1285,78.94,82,66,2.57,broken clouds
65,Kikwit,CD,-5.041,18.8162,70.12,98,100,1.34,light rain
66,Avera,US,33.194,-82.5271,55.53,51,2,6.89,clear sky
67,Samfya,ZM,-11.3649,29.5565,72.46,59,99,3.02,overcast clouds
68,New Norfolk,AU,-42.7826,147.0587,87.66,26,100,1.99,overcast clouds
69,Albany,US,42.6001,-73.9662,34.81,85,82,3.58,broken clouds
70,Provideniya,RU,64.3833,-173.3,-5.69,65,0,6.71,clear sky
71,Tasiilaq,GL,65.6145,-37.6368,11.52,88,100,6.22,overcast clouds
72,Narsaq,GL,60.9167,-46.05,43.02,96,100,15.14,moderate rain
73,Tiksi,RU,71.6872,128.8694,-23.85,98,99,6.76,overcast clouds
74,Barcelos,PT,41.5388,-8.6151,48.92,85,90,2.46,overcast clouds
75,San Buenaventura,MX,27.0833,-101.5333,70.48,54,100,4.09,overcast clouds
76,Gold Coast,AU,-28.0,153.4333,77.23,89,75,5.75,light rain
77,Porto Nacional,BR,-10.7081,-48.4172,78.8,90,62,2.48,broken clouds
78,Butaritari,KI,3.0707,172.7902,82.11,76,90,8.14,overcast clouds
79,Barrow,US,71.2906,-156.7887,-14.78,70,1,12.66,haze
80,Cape Town,ZA,-33.9258,18.4232,61.27,77,18,5.17,few clouds
81,East London,ZA,-33.0153,27.9116,66.07,80,99,5.3,overcast clouds
82,Bengkulu,ID,-3.8004,102.2655,79.72,75,100,3.56,overcast clouds
83,Puerto Ayora,EC,-0.7393,-90.3518,68.79,91,39,6.69,scattered clouds
84,Ponta Do Sol,PT,32.6667,-17.1,62.71,77,90,4.88,overcast clouds
85,Vardo,NO,70.3705,31.1107,34.11,54,100,31.99,overcast clouds
86,Bardiyah,LY,31.7561,25.0865,62.17,59,100,18.86,overcast clouds
87,Shache,CN,38.4167,77.2406,24.64,41,34,1.7,scattered clouds
88,Te Anau,NZ,-45.4167,167.7167,70.92,49,8,2.75,clear sky
