City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Comodoro Rivadavia,0,AR,2021-11-28 19:41:45,22,-45.8667,-67.5,75.06,28.77
1,Sisimiut,100,GL,2021-11-28 19:44:03,85,66.9395,-53.6735,31.21,11.5
2,Lebu,6,CL,2021-11-28 19:44:04,67,-37.6167,-73.65,56.89,19.64
3,Port Lincoln,1,AU,2021-11-28 19:44:04,77,-34.7333,135.8667,58.89,6.06
4,Rikitea,12,PF,2021-11-28 19:44:04,77,-23.1203,-134.9692,76.33,16.82
5,Ahipara,100,NZ,2021-11-28 19:42:19,71,-35.1667,173.1667,66.34,2.21
6,Alice Springs,0,AU,2021-11-28 19:44:05,77,-23.7,133.8833,56.75,0.0
7,Puerto Ayora,87,EC,2021-11-28 19:42:16,81,-0.7393,-90.3518,76.96,10.07
8,Kearney,1,US,2021-11-28 19:44:05,40,40.6995,-99.0815,56.32,20.71
9,Sola,39,VU,2021-11-28 19:44:06,74,-13.8833,167.55,81.52,8.97
10,Ushuaia,40,AR,2021-11-28 19:41:11,66,-54.8,-68.3,47.86,35.68
11,Hay River,90,CA,2021-11-28 19:44:06,85,60.8156,-115.7999,12.18,9.22
12,Nouadhibou,100,MR,2021-11-28 19:44:06,64,20.931,-17.0347,69.78,14.97
13,Bichena,63,ET,2021-11-28 19:44:07,56,10.45,38.2,52.56,1.83
14,Yumen,0,CN,2021-11-28 19:44:07,48,40.2833,97.2,20.16,15.77
15,Mende,98,FR,2021-11-28 19:44:08,94,44.6667,3.5,22.19,9.71
16,Busselton,23,AU,2021-11-28 19:44:05,85,-33.65,115.3333,60.35,8.59
17,Poenari,100,RO,2021-11-28 19:44:08,89,45.3167,24.65,53.38,2.66
18,Georgetown,20,MY,2021-11-28 19:41:00,88,5.4112,100.3354,76.95,0.0
19,Pula,40,HR,2021-11-28 19:44:09,93,44.8683,13.8481,45.46,6.91
20,Moussoro,25,TD,2021-11-28 19:44:09,11,13.6408,16.4901,81.61,9.75
21,Taltal,25,CL,2021-11-28 19:44:10,66,-25.4,-70.4833,66.31,6.04
22,San Cristobal,62,VE,2021-11-28 19:44:10,52,7.7669,-72.225,78.98,3.58
23,Yellowknife,90,CA,2021-11-28 19:44:11,92,62.456,-114.3525,16.32,14.97
24,Mataura,94,NZ,2021-11-28 19:42:11,61,-46.1927,168.8643,53.67,2.19
25,Dire Dawa,5,ET,2021-11-28 19:44:11,54,9.5931,41.8661,68.05,1.88
26,Laerdalsoyri,0,NO,2021-11-28 19:44:12,79,61.098,7.4816,19.72,2.3
27,Ottawa,75,CA,2021-11-28 19:39:29,59,45.4112,-75.6981,27.03,6.91
28,Kaitangata,100,NZ,2021-11-28 19:44:12,58,-46.2817,169.8464,53.85,7.56
29,Olga,81,RU,2021-11-28 19:43:22,55,43.7444,135.2892,34.09,4.43
30,Boa Vista,40,BR,2021-11-28 19:44:13,40,2.8197,-60.6733,93.18,14.97
31,Bentiu,3,SS,2021-11-28 19:44:13,32,9.2333,29.8333,85.51,5.28
32,Touros,43,BR,2021-11-28 19:44:13,72,-5.1989,-35.4608,86.9,11.86
33,Punta Arenas,75,CL,2021-11-28 19:44:13,57,-53.15,-70.9167,50.11,29.93
34,Vaini,20,TO,2021-11-28 19:43:27,73,-21.2,-175.2,78.96,11.5
35,Nantucket,90,US,2021-11-28 19:44:14,65,41.2835,-70.0995,44.71,8.05
36,Hastings,100,GB,2021-11-28 19:44:15,67,50.8552,0.5729,37.15,13.51
37,Lorengau,96,PG,2021-11-28 19:44:02,81,-2.0226,147.2712,79.9,2.55
38,Tasiilaq,96,GL,2021-11-28 19:44:08,97,65.6145,-37.6368,26.76,3.44
39,Acapulco,40,MX,2021-11-28 19:44:16,66,16.8634,-99.8901,87.62,9.22
40,Shenzhen,7,CN,2021-11-28 19:43:49,57,22.5455,114.0683,69.67,4.12
41,Mathbaria,52,BD,2021-11-28 19:44:16,61,22.2876,89.9593,63.27,4.23
42,Torbay,75,CA,2021-11-28 19:44:16,66,47.6666,-52.7314,47.17,17.27
43,Mahebourg,20,MU,2021-11-28 19:44:17,83,-20.4081,57.7,75.49,3.44
44,Mackay,90,AU,2021-11-28 19:44:17,94,-21.15,149.2,75.18,4.61
45,Hualmay,68,PE,2021-11-28 19:44:17,74,-11.0964,-77.6139,70.68,10.51
46,Hermanus,62,ZA,2021-11-28 19:44:18,83,-34.4187,19.2345,64.36,8.59
47,Caravelas,33,BR,2021-11-28 19:45:18,92,-17.7125,-39.2481,75.27,10.45
48,Longyearbyen,75,SJ,2021-11-28 19:41:27,61,78.2186,15.6401,8.44,26.46
49,Vityazevo,20,RU,2021-11-28 19:45:19,77,44.9931,37.2719,59.41,22.37
50,Flinders,82,AU,2021-11-28 19:45:19,79,-34.5833,150.8552,56.48,5.03
51,Hasaki,1,JP,2021-11-28 19:45:20,48,35.7333,140.8333,34.2,1.43
52,Aklavik,40,CA,2021-11-28 19:45:20,70,68.2191,-135.0107,-13.97,14.97
53,Port Macquarie,100,AU,2021-11-28 19:42:03,84,-31.4333,152.9167,60.76,5.88
54,Thompson,40,CA,2021-11-28 19:45:20,78,55.7435,-97.8558,6.96,3.44
55,Akom,100,CM,2021-11-28 19:45:21,65,2.6678,12.7109,72.93,0.83
56,Bethel,90,US,2021-11-28 19:45:00,69,41.3712,-73.414,37.98,3.44
